Lyric,Title,Singer,Feeling,Label
"Just hope you're heaven-sent, and you're hell-proof",Drop the World,Lil Wayne,Anger,0
On Blue Bayou,Blue Bayou,Linda Ronstadt,Sad,2
"Fuck you, I won't do what you tell me",Killing In The Name,Unknown,Anger,0
"In 2002, if you asked me to make a wish",I’m Supposed to Die Tonight,50 Cent,Anger,0
I like to think that we had it all,Maps,Maroon 5,Sad,2
"Hello, it's me",Hello,Adele,Sad,2
"Mug the manager like, ""What the FUCK'S POPPIN'?,",Agony Fires,Army of the Pharaohs,Anger,0
"Hey, I oughtta leave young thing alone",Ain't No Sun Shine,Bill Withers,Sad,2
You know what the movements like,Crunk Muzik,The Diplomats,Anger,0
Can the lonely take the place of you,the lonely,Christina Perri,Sad,2
It's time to go home now and I've got an aching head,Wonderful Tonight,Eric Clapton,Joy,1
"Say it, spit it out, what is it exactly",bury a friend,Billie Eilish,Anger,0
"Disrespect, please remember, stains we gon' spray them round",You Don't Want Drama,8Ball & MJG,Anger,0
I have no place to go,Show Me the Meaning of Being Lonely,Backstreet Boys,Sad,2
"I'll slit his throat, dick in the mud and let his blood choke em",Get It On The Floor,DMX,Anger,0
"Hello, can you hear me?",Hello,Adele,Sad,2
"I'm movin' on, I'm feeling strong inside but",Sometimes I Cry,Eric Benét,Sad,2
I want to grow old with you,I Wanna Grow Old With You,Westlifes,Fear,3
"I'm makin' hits, singing songs of death in Autotune,",Agony Fires,Army of the Pharaohs,Anger,0
I never knew lonely could be so blue,Never Knew Lonely,Vince Gill,Sad,2
For tryin' to tuck the necklace,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
 when I hold you in my arms My love won't do you no harm,All You Need is Love,The Beatles ,Joy,1
Faith has been broken tears must be cried,Wild Horses,The Rolling Stones,Sad,2
"It is easy to say, but it's never the same",Someone You Loved,Lewis Capaldi,Sad,2
Cause my grandmother sucked my dick and I didn't come (oh),Fight Music,D12,Anger,0
Ya'll reppin' that five still,Crunk Muzik,The Diplomats,Anger,0
I'm taking over shit easily,Hip Hop Sinister,Hopsin,Anger,0
Where those fishing boats,Blue Bayou,Linda Ronstadt,Sad,2
"My suggestion, is to keep your distance Cause right now I'm dangerous",Break Stuff,Limp Bizkit,Anger,0
"I'll never love again, oh, oh, oh, oh",I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"I come rough, tough like an elephant tusk",Bring da Ruckus,Wu-Tang Clan,Anger,0
I fuck the crowd up that's what I do,Move Bitch,Ludacris,Anger,0
Just refuse whenever they asked to do shit,Fight Music,D12,Anger,0
"Three or four times in a tub, but that's normal — ain't it, Norman?",Kill You,Eminem,Anger,0
I've forgotten how it felt,Hello,Adele,Sad,2
Dancing slowly in an empty room,the lonely,Christina Perri,Sad,2
"By this nasty ass nigga with my nigga, the RZA",Bring da Ruckus,Wu-Tang Clan,Anger,0
So long,A Beautiful Morning,The Rascals,Joy,1
And the way things seem,Kill You,Eminem,Anger,0
I'm from that DC bitch,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Everything sucks (sucks, sucks, sucks, sucks)",Everything Sucks,Scott Helman,Anger,0
I know I'm ill,Hip Hop Sinister,Hopsin,Anger,0
"Cheers to the wish you were here, but you're not",Memories,Maroon 5,Sad,2
But on that road I took a fall,Maps,Maroon 5,Sad,2
"Today, I'm thinkin' about the things that are deadly",bury a friend,Billie Eilish,Anger,0
"Bounce, bitch, I can't be the road",Spikes,Death Grips,Anger,0
"Like here, take that, shake that, break that (Ay!)",Crunk Muzik,The Diplomats,Anger,0
To another stranger,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
As I'm walking down the corridor,Let me down slowly,Alec Benjamin,Sad,2
Have to turn it up on weekends,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Come here,bury a friend,Billie Eilish,Anger,0
I hope he holds your hand,When I Was Your Man,Bruno Mars,Sad,2
In the hood he known as a Capo,Crunk Muzik,The Diplomats,Anger,0
Ball and G,You Don't Want Drama,8Ball & MJG,Anger,0
I sing myself a quiet lullaby,the lonely,Christina Perri,Sad,2
My Hancock do-rag riptides like tent city,Spikes,Death Grips,Anger,0
"And I stay with the white, I got Jungle Fever (nose candy)",Crunk Muzik,The Diplomats,Anger,0
Just the dusty corners that the shadows know ,Lonelier Than This,Steve Earle,Sad,2
The Shaolin and the Wu-Tang could be dangerous,Bring da Ruckus,Wu-Tang Clan,Anger,0
With emptiness all around,Are You Lonesome Tonight,Elvis Presley,Sad,2
Take a little time baby,Rainbow,Unknow,Joy,1
But every touch is ooh la la la,Señorita,"Camila Cabello, Shawn Mendes",Joy,1
Careful,bury a friend,Billie Eilish,Anger,0
It's a new dawn,Feeling Good,Michael Bublé,Joy,1
Dont even talk about guns cause we quick to sling,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Although you've been gone for a long, long time, ooh yeah yeah",Sometimes I Cry,Eric Benét,Sad,2
"And some of you niggas, acting like hoes",The Spiteful Chant,Kendrick Lamar,Anger,0
"We buyin' bars out, showin' scars out",Move Bitch,Ludacris,Anger,0
God dammit K. Dot when it comes to this,The Spiteful Chant,Kendrick Lamar,Anger,0
Time and time again the chance for love has passed me by,Goodbye to Love,Carpenters,Sad,2
I hope that you're well,Hello,Adele,Fear,3
"I get my dogs to do you dirty, they all seven-thirty",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
But I'm gon die by it cause I'm like knee deep in it,Get It On The Floor,DMX,Anger,0
"Then pray for my downfall, I understand it all",I’m Supposed to Die Tonight,50 Cent,Anger,0
I come to every club with intention to do harm,Fight Music,D12,Anger,0
Stomp!,Stomp,Kirk Franklin,Anger,0
"Ice Cube, take the motherfuckin' stand",Fuck Tha Police,N.W.A.,Anger,0
A nigga's job is never done,Get It On The Floor,DMX,Anger,0
"Damn, you're such a",You'r such a,Hailee Steinfeld,Anger,0
How you think I got the name Hova?,Crazy in Love,Beyoncé,Joy,1
Now go over there and blow up Dru Hill's arms,Fight Music,D12,Anger,0
Also on the faces of people going by,What a Wonderful World,Ledisi,Joy,1
Offer me that deathless death,Take Me to Church,Hozier,Sad,2
"Oh aw wazzup, get my dick sucked, what are you doin'?",Move Bitch,Ludacris,Anger,0
And there's nothin' I can do,Lonelier Than This,Steve Earle,Sad,2
Who gives a fuck where you from,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
And don't tell me what to do,You Don 'T Own Me,Lesley Gore,Anger,0
I once was a man with dignity and grace,Let me down slowly,Alec Benjamin,Sad,2
I'ma have a very good time,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Even in the summer time me and lil shawty cuddle,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"You know that there is no one, I can realate to",Nothing like us,Jungkook,Sad,2
Here's to the ones that we got,Let me down slowly,Alec Benjamin,Sad,2
"You will die, you will lie in a pool full of shit (Ay!)",Crunk Muzik,The Diplomats,Anger,0
I should've worshiped her sooner,Take Me to Church,Hozier,Sad,2
I lay in tears in bed all night,All I want,Joni Mitchell,Sad,2
"BIG said damn, niggas want to stick me for my paper",I’m Supposed to Die Tonight,50 Cent,Anger,0
Love can touch us one time,My Heart Will Go On,Celine Dion,Joy,1
Never wishing to hide the tears,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
It would make me believe what tomorrow could bring,All Out of Love,Air Supply,Sad,2
Number one question they asking Fuck every question you asking,Black Skinhead,Kanye West,Anger,0
You faggots keep eggin' me on,Kill You,Eminem,Anger,0
"My eyes will do the same, if you walk away",It Will Rain,Bruno Mars,Sad,2
I want to die lying in my arms,I Wanna Grow Old With You,Westlifes,Fear,3
I'm Mr. Lonely,Lonely,Akon,Sad,2
"When you're with me, baby the skies'll be blue",Happy Together,The Turtles,Joy,1
Dancin' where the stars go blue,When the Stars Go Blue,The Corrs,Sad,2
Go run and tell your friends my shit is wack,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"I'll make your freak leave you, smell the Folgers crystals",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Where do you go when you're blue?,When the Stars Go Blue,The Corrs,Sad,2
I said shut up when I'm talkin' to you,Kill You,Eminem,Anger,0
Why aren't you scared of me? Why do you care for me?,bury a friend,Billie Eilish,Anger,0
And tore you open 'til the end,Sorry,Halsey,Sad,2
But in my mind I play it back,Come Back...Be Here,Taylor Swift,Sad,2
"My texture is the best fur, chinchilla",Crazy in Love,Beyoncé,Joy,1
Fuck Y'all,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Why, alone",You Are Not Alone,Michael Jackson,Sad,2
And I'ma show y'all motherfuckers where the guns at,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Feel so low,So Lonely,The Police,Sad,2
You ready?,Crazy in Love,Beyoncé,Joy,1
"You'd rather see, me in the pen",Fuck Tha Police,N.W.A.,Anger,0
Or I'm a F*** around in this B**** and roast everybody!,Drop the World,Lil Wayne,Anger,0
"Close my eyes, she's somehow closer now",Good Vibrations,The Beach Boys,Joy,1
"I'm so fed up with my thoughts of you, and your memory",100 Years,Five for Fighting,Sad,2
But until I can find me,Solitary Man,Neil Diamond,Sad,2
It's God Consciousness that started this remarkable gift,Hollow Points,Unknown ,Anger,0
"I'mma blow this, blow this",Breakin' Dishes,Rihanna,Anger,0
"Got me looking so crazy right now (oh, crazy)",Crazy in Love,Beyoncé,Joy,1
I'll hold you close in my arms,Endliess Love,"Lionel Richie, Diana Ross",Joy,1
"So bad, stabbin' up the pad with the vocab, crab",Bring da Ruckus,Wu-Tang Clan,Anger,0
"Collaboration, c'mon now",You Don't Want Drama,8Ball & MJG,Anger,0
Hey,Angry White Boy Polka,Weird Al Yankovic,Anger,0
I miss the life,Away From the Sun,3 Doors Down,Sad,2
Hit the stage and knock the curtains down,Move Bitch,Ludacris,Anger,0
That I should have bought you flowers,When I Was Your Man,Bruno Mars,Sad,2
I'm from that Birmingham bitch,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
I bust a move as smooth as Casanova,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Cause you fittin' to get stuck, stoned, and snuffed",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Noise of nomads on sapphire spice,Spikes,Death Grips,Anger,0
Niggas thought the old me dissolved,Hip Hop Sinister,Hopsin,Anger,0
It was just like a song,When we are young,Adele,Fear,3
Looking so crazy in love's (whoa),Crazy in Love,Beyoncé,Joy,1
The feelings disappear,Hurt,Johnny Cash,Sad,2
It is a beautiful night,Marry You,Bruno Mars,Joy,1
"Cumulus in both hands, can't kill myself twice",Spikes,Death Grips,Anger,0
Nigga I ain't made shit,The Spiteful Chant,Kendrick Lamar,Anger,0
"And I could die now, rebirth Motherf***er",Drop the World,Lil Wayne,Anger,0
I'm colder than snow season when it's twenty below freezin',Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Warchild got machetes with old blood on the tip,",Agony Fires,Army of the Pharaohs,Anger,0
"Punks drop it, while I stand tall,",Agony Fires,Army of the Pharaohs,Anger,0
"I can't help yourself, I skid in doubt",Spikes,Death Grips,Anger,0
"Hop up in my spaceship and leave Earth, Motherf***er",Drop the World,Lil Wayne,Anger,0
"Dig deep, always fight, always win",Unknown,Unknown,Anger,0
She used to tell me my daddy was an evil man,Kill You,Eminem,Anger,0
"There's gonna be good times, good times",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Till I resign on your report,The Spiteful Chant,Kendrick Lamar,Anger,0
It's day that I can't stand,Lonely Day,System Of A Down,Sad,2
Fat boy witta gold mouth that shine,You Don't Want Drama,8Ball & MJG,Anger,0
Cause they'll slam ya down to the street top,Fuck Tha Police,N.W.A.,Anger,0
"And I don't give a fuck if the sun comes up, yeah",Another Lonely Night,Adam Lambert,Sad,2
"Bay, I'm dancing in the dark with you between my arms, barefoot on the grass, listening to our favourite songs",Perfect,Ed Sheeran,Joy,1
"I feel good, I knew that I would, now",I got You Feel So good,James Brown,Joy,1
Chasing bodies to fix the parts,Drowning Shadows,Sam Smith,Sad,2
Now I'm stuck out here and the world forgot,Astronaut,Simple Plan,Sad,2
For a punk motherfucker with a badge and a gun,Fuck Tha Police,N.W.A.,Anger,0
Slim Shady won't you please stand up?,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Don't wanna know another kiss,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"I can't take the pressure, I'm sick of bitches",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Cause I'm missing half of me,Half a Heart,One Direction,Sad,2
"Usta come but he's done, now we run the block",I Don't Give a Fuck,Tupac Shakur,Anger,0
"And she gon' squish it like squish, then go fast, she Speed Racer",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
I take your show money (ohh) take your 'dro money (ohh),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
I once was a man with diginity and grace,Let me down slowly,Alec Benjamin,Sad,2
And you are my man,The Power Of Love,Celine Dion,Joy,1
Just as soon as you can.,Tired of Being Alone,Al Green,Sad,2
I'm from that Miami bitch,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"You better kill me, I'ma be another rapper dead",Kill You,Eminem,Anger,0
I swear to God I can't never sound like lil shorty,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Too many mental problems got me snortin' coke and smokin' weed again,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Drive you around the corner,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"To my hooligan, gang",Crunk Muzik,The Diplomats,Anger,0
I'm good for rippin' and rhymin' in and out the beat,You Don't Want Drama,8Ball & MJG,Anger,0
"This the night, everytime, never quit",Unknown,Unknown,Anger,0
"What the fuck, what the fuck, huh? Uh",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
My endless love,Endliess Love,"Lionel Richie, Diana Ross",Joy,1
And I break as I hear you loud as a bomb,Fly Before You Fall,Cynthia Erivo,Sad,2
You know someone said that the world's a stage,Are You Lonesome Tonight,Elvis Presley,Sad,2
"But I couldn't stay away, I couldn't fight it",100 Years,Five for Fighting,Sad,2
"There's gonna be good times, there's gonna be good",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Half animal, half man",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"If I should call you up, invest a dime",Happy Together,The Turtles,Joy,1
How I'm feeling and my pride is the one to blame,Crazy in Love,Beyoncé,Joy,1
"It's just some shit, for these kids, to trash they rooms with",Fight Music,D12,Anger,0
Don't wanna feel another touch,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
Now the stage is bare and I'm standing there,Are You Lonesome Tonight,Elvis Presley,Sad,2
"The torch is lit, I scorch your clique, nigga I'm back",Hollow Points,Unknown ,Anger,0
Rollin like forty Macs,Bring da Ruckus,Wu-Tang Clan,Anger,0
And I provoke niggaz to kick buckets,Bring da Ruckus,Wu-Tang Clan,Anger,0
"I'm crashing into planes, I crash and stroll",Spikes,Death Grips,Anger,0
"Fuck a bitch, I'll leave a nigga burnt for real",Hollow Points,Unknown ,Anger,0
Got me looking so crazy right now (your love),Crazy in Love,Beyoncé,Joy,1
Or the highway,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"Oh baby, don't you feel so down
When you turn me off
When I feel left out",Angry White Boy Polka,Weird Al Yankovic,Anger,0
And a million miles,Hello,Adele,Sad,2
"Everybody hurts someday, ayy ayy",Memories,Maroon 5,Sad,2
"Got me hoping you'll page me right now, your kiss",Crazy in Love,Beyoncé,Joy,1
"Watch me, cause you thinkin you got me in this hot seat",Fight Music,D12,Anger,0
"Finally made it home, but I don't got the key to get in",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Taxi cabs and busy streets,Come Back...Be Here,Taylor Swift,Sad,2
Where are you now,Faded,Alan Walker,Sad,2
"Either way,",A Beautiful Morning,The Rascals,Joy,1
"You're here, there's nothing I fear",My Heart Will Go On,Celine Dion,Joy,1
I wish I could pretend I didn't need ya,Señorita,"Camila Cabello, Shawn Mendes",Joy,1
"And I, I hate to see your heart break",Hate to See Your Heart Break,Paramore,Sad,2
"And when I'm finished, bring the yellow tape",Fuck Tha Police,N.W.A.,Anger,0
The power of love,The Power Of Love,Celine Dion,Joy,1
Where did all mutherfuckers go?,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
I strike 'tween each time your solar plex drops,Spikes,Death Grips,Anger,0
"Hear me out, hear me out you're losing your direction",Genesis,ARMORS,Anger,0
Wack niggas prepare to die,Hip Hop Sinister,Hopsin,Anger,0
"Explosive botanist, obvious that I plant bombs,",Agony Fires,Army of the Pharaohs,Anger,0
You are my only,Down,Jay Sean,Joy,1
Listen,bury a friend,Billie Eilish,Anger,0
"Them loud mouths, gotta hit 'em with the wide hook",Hollow Points,Unknown ,Anger,0
Fuck you to I be the motherfucker totin the gun,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Good times, there's gon' be some good times",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Got me looking, got me looking so crazy in love (whoa)",Crazy in Love,Beyoncé,Joy,1
I'm in too deep,Runaway Train,Soul Asylum,Sad,2
So they always keep asking the same fucking questions,The Way I Am,Eminem,Anger,0
"She put him out,  like the burning end of a midnight cigarette",Whiskey Lullably,Brad Paisley,Sad,2
Suddenly the feeling that I can't go on,The Power Of Love,Celine Dion,Joy,1
Without you I just don't fit in,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
But then they'll have an accident and pick up another man,I Don't Give a Fuck,Tupac Shakur,Anger,0
She gon' get on top of this dick,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Situations have ended sad,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
Somehow I'm neither here nor there,Runaway Train,Soul Asylum,Sad,2
But the world won't stop,Another Lonely Night,Adam Lambert,Sad,2
The rooms are getting smaller,My Love,Westlifes,Sad,2
I'm tryna develop these pictures of the Devil to sell 'em,Kill You,Eminem,Anger,0
I need a place to go and weep,Lonely Street,Andy Williams,Sad,2
Fabrications in my ea,Kelis,Caught Out There,Anger,0
Young and successful a sex symbol,Move Bitch,Ludacris,Anger,0
So they can come and take all your money,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"A mess, what do you see ",Kelis,Caught Out There,Anger,0
I was lost in a lonely place,I lay my love on you,Westlifes,Sad,2
Is that you just don't realize how much I love you,Wonderful Tonight,Eric Clapton,Joy,1
Then make them bring the curtain down.,Are You Lonesome Tonight,Elvis Presley,Sad,2
To see you once again,My Love,Westlifes,Sad,2
i think I wanna marry you,Marry You,Bruno Mars,Joy,1
Ready to buck and rip shit up,I Don't Give a Fuck,Tupac Shakur,Anger,0
Cause your love's got the best of me,Crazy in Love,Beyoncé,Joy,1
I'm in love with the shape of you,Shape of you,Ed Sheeran,Joy,1
2pacalypse mother fuckin' know,I Don't Give a Fuck,Tupac Shakur,Anger,0
"At every occasion, I'll be ready for the funeral",The Funeral,Band of Horses,Sad,2
I wish you were here,Wish You Were Here,Avril Lavigne,Sad,2
"When you get off at your station alone, He'll know that you are.",The Loner,Nils Lofgren,Sad,2
In the heights to move on some pato (demelo),Crunk Muzik,The Diplomats,Anger,0
Got me looking so crazy right now,Crazy in Love,Beyoncé,Joy,1
"And hang body's that I hit up, can't fit us all,",Agony Fires,Army of the Pharaohs,Anger,0
And your trife ass wife wants a life with a black man,I Don't Give a Fuck,Tupac Shakur,Anger,0
Be ignored by the stiff and the bored,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"Hit him (hit him) hit him, flash the tech",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
And if you ever give in to him you give him an impulse,Kill You,Eminem,Anger,0
And said that I can't hold on,All Out of Love,Air Supply,Sad,2
Please come back now,You are the reason,Calum Scott,Fear,3
"The bright blessed day, the dark sacred night",What a Wonderful World,Ledisi,Joy,1
Think I'm on my way,Sometimes I Cry,Eric Benét,Sad,2
I took all my things that make sounds,Somebody Else,The 1975,Sad,2
Full of broken thoughts,Hurt,Johnny Cash,Sad,2
And I don't need no carrying on,Bad Day,Daniel Powter,Sad,2
I'm so tired of all this searching,Drowning Shadows,Sam Smith,Sad,2
So why can't I turn off the radio?,100 Years,Five for Fighting,Sad,2
"Hittin' sound, watch me act bugged, and tear it down",Bring da Ruckus,Wu-Tang Clan,Anger,0
Fish in the sea You know how I feel,Feeling Good,Michael Bublé,Joy,1
"We on the dance floor, throwin' bows, beatin' up niggas",Move Bitch,Ludacris,Anger,0
"But me, I'm a little more flashy a nigga",I’m Supposed to Die Tonight,50 Cent,Anger,0
"I've got a sad, sad tale to tell",Lonely Street,Andy Williams,Sad,2
I can go where no one else can go,Runaway Train,Soul Asylum,Sad,2
But this is not the end,I’m a Mess,Ed Sheeran,Sad,2
Cause I can sometimes treat the people,Sorry,Halsey,Sad,2
"I'm warmed up now, let's go",Crazy in Love,Beyoncé,Joy,1
"And when you smile, the whole world stops, and stares for a while",Just The Way You are,Bruno Mars,Joy,1
"It beez, the brothers representin' the Dirty Dozen",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Gone but not forgetten,I'll see you again,Westlifes,Sad,2
I want me and you to work it out,Lonely,Akon,Sad,2
And the bed where you lie,When You're Gone,Avril Lavigne,Sad,2
"Saving nickles, saving dimes",Blue Bayou,Linda Ronstadt,Sad,2
"I could cry, I could cry, i could cry,",Lonely Avenue,"Ray Charles, Doc Pomus",Sad,2
You are safe in my heart and,My Heart Will Go On,Celine Dion,Joy,1
We're heading for something,The Power Of Love,Celine Dion,Joy,1
They act like they never seen a mother fucker wearing black,I Don't Give a Fuck,Tupac Shakur,Anger,0
"I'm a M-eighty, you Little like that Kim lady",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
That never bring you back to me,Come Back...Be Here,Taylor Swift,Sad,2
See me as a dollar sign,The Spiteful Chant,Kendrick Lamar,Anger,0
"It's drastic, I'm past my limit of coke",Fight Music,D12,Anger,0
They done push me to the limit I'm all in,I Don't Give a Fuck,Tupac Shakur,Anger,0
Drinking to suppress devotion,I’m a Mess,Ed Sheeran,Sad,2
You took that paper you take a life or yo' life get took bitch,I’m Supposed to Die Tonight,50 Cent,Anger,0
I skid all over marks like I'm haunted,Spikes,Death Grips,Anger,0
My rap will give you fucking brain cancer,Hollow Points,Unknown ,Anger,0
Let you go and let the lonely in,the lonely,Christina Perri,Sad,2
I heard that your dreams came true,100 Years,Five for Fighting,Sad,2
Just how your love can do what no one else can,Crazy in Love,Beyoncé,Joy,1
I wanna end me,bury a friend,Billie Eilish,Anger,0
"My path massive, demands panoramic",Spikes,Death Grips,Anger,0
Know I need you 'round with me,Now or Never,Halsey,Anger,0
Guess I'd rather hurt than feel nothing at all,Need You Now,Lady Antebellum,Sad,2
"It's a quarter after one, I'm all alone and I need you now",Need You Now,Lady Antebellum,Sad,2
But talk behind my back every time I'm gone,The Spiteful Chant,Kendrick Lamar,Anger,0
"I have died everyday, waiting for you",A Thousand Years,Christina Perri,Sad,2
How is the weather,Happy Together,The Turtles,Joy,1
You are missing in my heart,Show Me the Meaning of Being Lonely,Backstreet Boys,Sad,2
I'm gone,Drop the World,Lil Wayne,Anger,0
Cause I wanted to,Angry White Boy Polka,Weird Al Yankovic,Anger,0
But i cann't stop to keep myself from thinking,My Love,Westlifes,Sad,2
"Yeah, history in the making",Crazy in Love,Beyoncé,Joy,1
You're every breath that I take,Endliess Love,"Lionel Richie, Diana Ross",Joy,1
"Honestly, I thought that I would be dead by now (Wow)",bury a friend,Billie Eilish,Anger,0
Signed to the streets but the judge ain't served the deal,Hollow Points,Unknown ,Anger,0
Going through the motions,I’m a Mess,Ed Sheeran,Sad,2
I had hoped you'd see my face,100 Years,Five for Fighting,Sad,2
I just need you now,Need You Now,Lady Antebellum,Sad,2
And they blame it on Marilyn and the heroin,The Way I Am,Eminem,Anger,0
"waste of semen, I hope you die",Platypus,Unknown,Anger,0
None of me left but reflex skidding out,Spikes,Death Grips,Anger,0
Time on my side,Love Is Like Oxygen,Sweet,Joy,1
Make you strip butt-naked,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Some things are better left unsaid,Love Is Like Oxygen,Sweet,Joy,1
Gets me frustrated,Complicated,Avril Lavigne ,Anger,0
Know I should let you go,Another Lonely Night,Adam Lambert,Sad,2
Broken in the world that can't be mended,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"We are, we are",Angry White Boy Polka,Weird Al Yankovic,Anger,0
Ya'll just make me laugh and giggle,Hip Hop Sinister,Hopsin,Anger,0
"It's the perfect timin', you see the man shinin'",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
You gettin' knocked the fuck out like Mike Tyson,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
But they're just afraid of something they can't understand,Before You Go,Lewis Capaldi,Sad,2
"When you're still inside,",A Beautiful Morning,The Rascals,Joy,1
I'm lonely like a satellite?,Astronaut,Simple Plan,Sad,2
"The roughness, yes, the rudeness, ruckus",Bring da Ruckus,Wu-Tang Clan,Anger,0
"Satanic candles lit in my recording room,",Agony Fires,Army of the Pharaohs,Anger,0
I got it all,Love Is Like Oxygen,Sweet,Joy,1
I said something wrong,Yesterday,The Beatles,Sad,2
"There's a time that I remember, when I did not know no pain",Memories,Maroon 5,Sad,2
That is how I know you go on,My Heart Will Go On,Celine Dion,Joy,1
