Lyric,Emotion
I've forgotten how it felt,Sad
Dancing slowly in an empty room,Sad
"By this nasty ass nigga with my nigga, the RZA",Anger
So long,Joy
And the way things seem,Anger
I'm from that DC bitch,Anger
"Everything sucks (sucks, sucks, sucks, sucks)",Anger
I know I'm ill,Anger
"Cheers to the wish you were here, but you're not",Sad
But on that road I took a fall,Sad
"Today, I'm thinkin' about the things that are deadly",Anger
"Bounce, bitch, I can't be the road",Anger
"Like here, take that, shake that, break that (Ay!)",Anger
To another stranger,Sad
As I'm walking down the corridor,Sad
Have to turn it up on weekends,Joy
Come here,Anger
I hope he holds your hand,Sad
In the hood he known as a Capo,Anger
Ball and G,Anger
I sing myself a quiet lullaby,Sad
My Hancock do-rag riptides like tent city,Anger
"And I stay with the white, I got Jungle Fever (nose candy)",Anger
Just the dusty corners that the shadows know ,Sad
The Shaolin and the Wu-Tang could be dangerous,Anger
With emptiness all around,Sad
Take a little time baby,Joy
But every touch is ooh la la la,Joy
Careful,Anger
It's a new dawn,Joy
Dont even talk about guns cause we quick to sling,Anger
"Although you've been gone for a long, long time, ooh yeah yeah",Sad
"And some of you niggas, acting like hoes",Anger
"We buyin' bars out, showin' scars out",Anger
God dammit K. Dot when it comes to this,Anger
Time and time again the chance for love has passed me by,Sad
I hope that you're well,Fear
"I get my dogs to do you dirty, they all seven-thirty",Anger
But I'm gon die by it cause I'm like knee deep in it,Anger
"Then pray for my downfall, I understand it all",Anger
I come to every club with intention to do harm,Anger
Stomp!,Anger
"Ice Cube, take the motherfuckin' stand",Anger
A nigga's job is never done,Anger
"Damn, you're such a",Anger
How you think I got the name Hova?,Joy
Now go over there and blow up Dru Hill's arms,Anger
Also on the faces of people going by,Joy
Offer me that deathless death,Sad
"Oh aw wazzup, get my dick sucked, what are you doin'?",Anger
And there's nothin' I can do,Sad
Who gives a fuck where you from,Anger
And don't tell me what to do,Anger
I once was a man with dignity and grace,Sad
I'ma have a very good time,Joy
Even in the summer time me and lil shawty cuddle,Joy
"You know that there is no one, I can realate to",Sad
Here's to the ones that we got,Sad
"You will die, you will lie in a pool full of shit (Ay!)",Anger
I should've worshiped her sooner,Sad
I lay in tears in bed all night,Sad
"BIG said damn, niggas want to stick me for my paper",Anger
Love can touch us one time,Joy
Never wishing to hide the tears,Sad
It would make me believe what tomorrow could bring,Sad
Number one question they asking Fuck every question you asking,Anger
You faggots keep eggin' me on,Anger
"My eyes will do the same, if you walk away",Sad
I want to die lying in my arms,Fear
I'm Mr. Lonely,Sad
"When you're with me, baby the skies'll be blue",Joy
Dancin' where the stars go blue,Sad
Go run and tell your friends my shit is wack,Anger
"I'll make your freak leave you, smell the Folgers crystals",Anger
Where do you go when you're blue?,Sad
I said shut up when I'm talkin' to you,Anger
Why aren't you scared of me? Why do you care for me?,Anger
And tore you open 'til the end,Sad
But in my mind I play it back,Sad
"My texture is the best fur, chinchilla",Joy
Fuck Y'all,Anger
"Why, alone",Sad
And I'ma show y'all motherfuckers where the guns at,Anger
Feel so low,Sad
You ready?,Joy
"You'd rather see, me in the pen",Anger
Or I'm a F*** around in this B**** and roast everybody!,Anger
"Close my eyes, she's somehow closer now",Joy
"I'm so fed up with my thoughts of you, and your memory",Sad
But until I can find me,Sad
It's God Consciousness that started this remarkable gift,Anger
"I'mma blow this, blow this",Anger
"Got me looking so crazy right now (oh, crazy)",Joy
I'll hold you close in my arms,Joy
"So bad, stabbin' up the pad with the vocab, crab",Anger
"Collaboration, c'mon now",Anger
Hey,Anger
I miss the life,Sad
Hit the stage and knock the curtains down,Anger
That I should have bought you flowers,Sad
I'm from that Birmingham bitch,Anger
I bust a move as smooth as Casanova,Anger
"Cause you fittin' to get stuck, stoned, and snuffed",Anger
Noise of nomads on sapphire spice,Anger
Niggas thought the old me dissolved,Anger
It was just like a song,Fear
Looking so crazy in love's (whoa),Joy
The feelings disappear,Sad
It is a beautiful night,Joy
"Cumulus in both hands, can't kill myself twice",Anger
Nigga I ain't made shit,Anger
"And I could die now, rebirth Motherf***er",Anger
I'm colder than snow season when it's twenty below freezin',Anger
"Warchild got machetes with old blood on the tip,",Anger
"Punks drop it, while I stand tall,",Anger
"I can't help yourself, I skid in doubt",Anger
"Hop up in my spaceship and leave Earth, Motherf***er",Anger
"Dig deep, always fight, always win",Anger
She used to tell me my daddy was an evil man,Anger
"There's gonna be good times, good times",Joy
Till I resign on your report,Anger
It's day that I can't stand,Sad
Fat boy witta gold mouth that shine,Anger
Cause they'll slam ya down to the street top,Anger
"And I don't give a fuck if the sun comes up, yeah",Sad
"Bay, I'm dancing in the dark with you between my arms, barefoot on the grass, listening to our favourite songs",Joy
"I feel good, I knew that I would, now",Joy
Chasing bodies to fix the parts,Sad
Now I'm stuck out here and the world forgot,Sad
For a punk motherfucker with a badge and a gun,Anger
Slim Shady won't you please stand up?,Anger
Don't wanna know another kiss,Sad
"I can't take the pressure, I'm sick of bitches",Anger
Cause I'm missing half of me,Sad
"Usta come but he's done, now we run the block",Anger
"And she gon' squish it like squish, then go fast, she Speed Racer",Joy
I take your show money (ohh) take your 'dro money (ohh),Anger
I once was a man with diginity and grace,Sad
And you are my man,Joy
Just as soon as you can.,Sad
I'm from that Miami bitch,Anger
"You better kill me, I'ma be another rapper dead",Anger
I swear to God I can't never sound like lil shorty,Joy
Too many mental problems got me snortin' coke and smokin' weed again,Anger
Drive you around the corner,Anger
"To my hooligan, gang",Anger
I'm good for rippin' and rhymin' in and out the beat,Anger
"This the night, everytime, never quit",Anger
"What the fuck, what the fuck, huh? Uh",Anger
My endless love,Joy
And I break as I hear you loud as a bomb,Sad
You know someone said that the world's a stage,Sad
"But I couldn't stay away, I couldn't fight it",Sad
"There's gonna be good times, there's gonna be good",Joy
"Half animal, half man",Anger
"If I should call you up, invest a dime",Joy
How I'm feeling and my pride is the one to blame,Joy
"It's just some shit, for these kids, to trash they rooms with",Anger
Don't wanna feel another touch,Sad
Now the stage is bare and I'm standing there,Sad
"The torch is lit, I scorch your clique, nigga I'm back",Anger
Rollin like forty Macs,Anger
And I provoke niggaz to kick buckets,Anger
"I'm crashing into planes, I crash and stroll",Anger
"Fuck a bitch, I'll leave a nigga burnt for real",Anger
Got me looking so crazy right now (your love),Joy
Or the highway,Anger
"Oh baby, don't you feel so down
When you turn me off
When I feel left out",Anger
And a million miles,Sad
"Everybody hurts someday, ayy ayy",Sad
"Got me hoping you'll page me right now, your kiss",Joy
"Watch me, cause you thinkin you got me in this hot seat",Anger
"Finally made it home, but I don't got the key to get in",Anger
Taxi cabs and busy streets,Sad
Where are you now,Sad
"Either way,",Joy
"You're here, there's nothing I fear",Joy
I wish I could pretend I didn't need ya,Joy
"And I, I hate to see your heart break",Sad
"And when I'm finished, bring the yellow tape",Anger
The power of love,Joy
Where did all mutherfuckers go?,Anger
I strike 'tween each time your solar plex drops,Anger
"Hear me out, hear me out you're losing your direction",Anger
Wack niggas prepare to die,Anger
"Explosive botanist, obvious that I plant bombs,",Anger
You are my only,Joy
Listen,Anger
"Them loud mouths, gotta hit 'em with the wide hook",Anger
Fuck you to I be the motherfucker totin the gun,Anger
"Good times, there's gon' be some good times",Joy
"Got me looking, got me looking so crazy in love (whoa)",Joy
I'm in too deep,Sad
So they always keep asking the same fucking questions,Anger
"She put him out,  like the burning end of a midnight cigarette",Sad
Suddenly the feeling that I can't go on,Joy
Without you I just don't fit in,Sad
But then they'll have an accident and pick up another man,Anger
She gon' get on top of this dick,Joy
Situations have ended sad,Sad
Somehow I'm neither here nor there,Sad
But the world won't stop,Sad
The rooms are getting smaller,Sad
I'm tryna develop these pictures of the Devil to sell 'em,Anger
I need a place to go and weep,Sad
Fabrications in my ea,Anger
Young and successful a sex symbol,Anger
So they can come and take all your money,Anger
"A mess, what do you see ",Anger
I was lost in a lonely place,Sad
Is that you just don't realize how much I love you,Joy
Then make them bring the curtain down.,Sad
To see you once again,Sad
i think I wanna marry you,Joy
Ready to buck and rip shit up,Anger
Cause your love's got the best of me,Joy
I'm in love with the shape of you,Joy
2pacalypse mother fuckin' know,Anger
"At every occasion, I'll be ready for the funeral",Sad
I wish you were here,Sad
"When you get off at your station alone, He'll know that you are.",Sad
In the heights to move on some pato (demelo),Anger
Got me looking so crazy right now,Joy
"And hang body's that I hit up, can't fit us all,",Anger
And your trife ass wife wants a life with a black man,Anger
Be ignored by the stiff and the bored,Anger
"Hit him (hit him) hit him, flash the tech",Anger
And if you ever give in to him you give him an impulse,Anger
And said that I can't hold on,Sad
Please come back now,Fear
"The bright blessed day, the dark sacred night",Joy
Think I'm on my way,Sad
I took all my things that make sounds,Sad
Full of broken thoughts,Sad
And I don't need no carrying on,Sad
I'm so tired of all this searching,Sad
So why can't I turn off the radio?,Sad
"Hittin' sound, watch me act bugged, and tear it down",Anger
Fish in the sea You know how I feel,Joy
"We on the dance floor, throwin' bows, beatin' up niggas",Anger
"But me, I'm a little more flashy a nigga",Anger
"I've got a sad, sad tale to tell",Sad
I can go where no one else can go,Sad
But this is not the end,Sad
Cause I can sometimes treat the people,Sad
"I'm warmed up now, let's go",Joy
"And when you smile, the whole world stops, and stares for a while",Joy
"It beez, the brothers representin' the Dirty Dozen",Anger
Gone but not forgetten,Sad
I want me and you to work it out,Sad
And the bed where you lie,Sad
"Saving nickles, saving dimes",Sad
"I could cry, I could cry, i could cry,",Sad
You are safe in my heart and,Joy
We're heading for something,Joy
They act like they never seen a mother fucker wearing black,Anger
"I'm a M-eighty, you Little like that Kim lady",Anger
That never bring you back to me,Sad
See me as a dollar sign,Anger
"It's drastic, I'm past my limit of coke",Anger
They done push me to the limit I'm all in,Anger
Drinking to suppress devotion,Sad
You took that paper you take a life or yo' life get took bitch,Anger
I skid all over marks like I'm haunted,Anger
My rap will give you fucking brain cancer,Anger
Let you go and let the lonely in,Sad
I heard that your dreams came true,Sad
Just how your love can do what no one else can,Joy
I wanna end me,Anger
"My path massive, demands panoramic",Anger
Know I need you 'round with me,Anger
Guess I'd rather hurt than feel nothing at all,Sad
"It's a quarter after one, I'm all alone and I need you now",Sad
But talk behind my back every time I'm gone,Anger
"I have died everyday, waiting for you",Sad
How is the weather,Joy
You are missing in my heart,Sad
I'm gone,Anger
Cause I wanted to,Anger
But i cann't stop to keep myself from thinking,Sad
"Yeah, history in the making",Joy
You're every breath that I take,Joy
"Honestly, I thought that I would be dead by now (Wow)",Anger
Signed to the streets but the judge ain't served the deal,Anger
Going through the motions,Sad
I had hoped you'd see my face,Sad
I just need you now,Sad
And they blame it on Marilyn and the heroin,Anger
"waste of semen, I hope you die",Anger
None of me left but reflex skidding out,Anger
Time on my side,Joy
Make you strip butt-naked,Anger
Some things are better left unsaid,Joy
Gets me frustrated,Anger
Know I should let you go,Sad
Broken in the world that can't be mended,Sad
"We are, we are",Anger
Ya'll just make me laugh and giggle,Anger
"It's the perfect timin', you see the man shinin'",Anger
You gettin' knocked the fuck out like Mike Tyson,Anger
But they're just afraid of something they can't understand,Sad
"When you're still inside,",Joy
I'm lonely like a satellite?,Sad
"The roughness, yes, the rudeness, ruckus",Anger
"Satanic candles lit in my recording room,",Anger
I got it all,Joy
I said something wrong,Sad
"There's a time that I remember, when I did not know no pain",Sad
That is how I know you go on,Joy
"Cause it's tragedy and it'll only bring you down,",Sad
"But your thoughts will soon be wanderin', the way they always do",Sad
They just don't give a fuck,Anger
Man it's been so long since they see my dick,Anger
"Nigga couldn't get a call, just a Glock for my belt",Anger
I want you to pass it to Thugger Thugger,Joy
You don't know? fuck it find out the hard way,Anger
"If its crime lets have fun, lets have fun, lets have fun",Anger
"Oh, oh, oh, oh, Stomp on the enemy 'cause I've got the victory",Anger
Cause I left that night,Anger
Falling from the stars,Sad
"You know how me movin', right",Anger
I don't give a fuck,Anger
"I'm on that Kevlar vest shit, that Wild Wild West shit",Anger
And I said I wouldn't call but I'm a little drunk and I need you now,Sad
Right when I was just about to fall,Sad
And I'll find that there is someone to believe in,Sad
"Run up yo' stash house, tie granny up",Anger
I rarely do collaborations cause ya'll ain't qualified to be in a league with me,Anger
And in the streets bitches get the dick stuck up in em,Anger
"But when they kill me, I'm bringin' the world with me",Anger
"As the sweat pours out your body, like the music that you play",Sad
"Those who died are justified, for wearing the badge, they're the chosen whites",Anger
To tape off the scene of the slaughter,Anger
"A get your hands in the air, and get to clappin 'em",Anger
I ice out the whole joint and put ya men on freeze,Anger
When a dude's getting bullied and shoots up his school,Anger
Nigga I was motherfucking outchea,Anger
"Extortion, snortin', supportin' abortion",Anger
"Spur of the moment I could strike with a strategic blow,",Anger
Me and papi on the same pills,Joy
They call me Pistol Pete Maravich moving the pill,Anger
"Cause I'm falling deeper, baby, be prepared",Joy
"Losing my sight, losing my mind",Anger
Should I tear my eyes out now?,Sad
When we are young,Fear
And how good she's treating you,Sad
Come on and let me sneak you out,Joy
I'm about as lonesome as a poor boy gets,Sad
And you say you belong to me and ease my mind,Joy
"Need two fifty more, Double M this shit for real",Anger
"Flightless bird, jealous, weeping",Sad
"You see them headlights, you hear that fuckin' crowd?",Anger
I'm from that Harlem ho,Anger
Anytime she goes away,Sad
"The song 'Guilty Conscience' has gotten such rotten responses.""",Anger
I gotta give my fuck offs,Anger
"Home, home, home, home",Sad
"In a world devoid of life, you bring colors",Joy
"Suffocation, no breathing",Anger
Are the dreams all made solid,Sad
Your talk'll be somethin' that shouldn't be said out loud,Anger
It's like a casting call for 'Romeo and Juliet',Sad
It's going to be very hilarious when I bury your corpse,Anger
This all or nothing really got a way of driving me crazy,Sad
But for tonight I wanna fall in love,Sad
"Homeboy, frontin' on me'll shorten your lifespan",Anger
Massive,Anger
Didn't mean to leave you,Sad
I believe that the heart does go on,Joy
Nothing you can say but you can learn how to play the game,Joy
Got me hoping you'll save me right now (baby),Joy
(Stand up Shady)(Stand up),Anger
I fuckin hate you; I'll take your drawers down and rape you,Anger
But everything gon' be alright,Sad
"I work and forever try, but I'm cursed, so never mind",Anger
You won't last living in this cold climate,Anger
What if I'm out?,Sad
Wait until darkness,Sad
I know I was happier with you,Sad
But never forgets what I lost,Sad
We push a lot of everything but it's usually krill,Anger
Livin' alone,Sad
Commercial niggas thinking they carry the torch,Anger
Are rolling by like thunder now,Joy
I need more hours with you,Joy
We can build this thing together,Joy
If I couldn't be strong,Joy
This time I'm a let it all come out,Anger
Also a gang of mother-fuckers dressed in blue slacks,Anger
"Yo yap that fool, 'cause I don't know money",Anger
Do you gaze at your doorstep and picture me there?,Sad
Dumpin' your dead body inside of a fuckin' trash can,Anger
And I'm sorry to my unknown lover,Sad
Broken pieces of,Sad
"Young B and the R-O-C, uh oh (oh)",Joy
Hold up a picture of his family and kick it at him,Anger
"Search a nigga down, and grabbin' his nuts",Anger
That should be me holding your hands,Sad
Just one look at you,Joy
"And jewelry bitch, tell me that?",Anger
I had enough and I don't give a fuck,Anger
"Duck taping your clique, so show me the loot",Anger
When I was sleeping on couches,Anger
"I'm so tired of on my own,",Sad
"Lay it down, please remember",Anger
I cripple any hypocritic critic I'm sic'd on,Anger
Could make me feel bitter or treat you unkind,Sad
D-d-die die die die die,Anger
"I live on a lonely avenue,",Sad
"There is not a single word, in the whole world  That could describe the hurt the dullest knife just sawing and back and forth",Sad
"So I pick the world up and I'm a drop it on your f***in' head, yeah",Anger
I'd make major label rappers Ice Cubes and Eazys,Anger
"It hurts, but I never show,",Anger
You got the fear,Fear
And last for a lifetime,Joy
"Come back, be here",Sad
And there's nothing I can do,Sad
"Call your name two, three times in a row",Joy
Everybody's got somebody but me,Sad
I miss the taste of a sweeter life,Sad
"Slut, you think I won't choke no whore",Anger
"I'm evil, read your palm before dawn and spawn",Anger
When the day that lies ahead of me,Joy
"Baby, your smils's forever in my mind and memory",Joy
I'm so lonesome I could cry,Sad
A young nigga got it bad 'cause I'm brown,Anger
I'm from that Corpus Christi Ho,Anger
There's such a difference between us,Sad
"When today doesn't really know, doesn't really know",Sad
"No, I won't sign you an autograph",Anger
"Aw shit, Wu-Tang Clan spark the wicks an'",Anger
"Don't be stupid, find out who you fuckin' with son",Anger
She's giving me excitations (excitations),Joy
"We did the impossible, now we're unstoppable",Anger
"It ain't a single man living could fuck with the beast,",Anger
"Ya head rush, fly like Egyptian musk",Anger
Do believe I told you so,Anger
"My hands stay dirty, cause I play dirty the mob way",Anger
I'ma ride in that pussy like a stroller,Joy
Why can't I turn off the radio?,Sad
"I see babies crying, I watch them grow",Joy
For me it happens all the time,Sad
"The catch, they don't wanna stop at the brother man",Anger
While this cops bragging about the nigga he's jacking,Anger
"And they wanna tell me, I made it",Anger
And ya toolies go blast (silence),Anger
"I'm hectic, I wreck it with the quickness",Anger
It seems to me that there are more hearts,Sad
I skid like I'm no use,Anger
"High like space, .forty five on waist",Anger
I'm triple platinum and tragedies happened in two states,Anger
I-I walk up in the world and cut the lights off,Anger
My skids rit rubbernecks agent orange,Anger
"This Pharaohs shit fo' life, they gon' die right wit me",Anger
Ain't no sunshine when she's gone,Sad
"Since all of our scattered dreams, huh",Sad
"Slid, cause I got to slide when the dirt is done",Anger
"Talkin' that shit behind my back, dirty mackin'",Anger
"You bout to find out why German Lugers exsist,",Anger
So next time you spit a fucking rhyme that's too simple,Anger
I'm fallin' ,Sad
I miss holding your hand,Sad
I haven't seen it,Anger
I blow up his fuckin' prism,Anger
I just don't give a fuck!,Anger
"B****, I'm a pick the world up and I'm a drop it on your f***in' head",Anger
"(Uh oh, uh oh, uh oh, oh, no, no) Fall back, young, ever since I made the change over",Joy
Or the pump'll put a hurt on a nigga,Anger
Cause I know I don't understand,Joy
"More real niggas mad fallin' off the deep end,",Anger
"Shut up, slut! You're causin' too much chaos",Anger
"This is that bang, bang, bang",Anger
Lights up a purple sky,Sad
"Oh girl, they'll be mo dead",Anger
Say I'm steamed when I'm pullin' a scam quick,Anger
Maybe even cried for you,Sad
"Cause right now it says that we, can't come to the phone",Sad
Cut my life into pieces,Anger
"Oh, he don't love me, he don't love me",Sad
It's easy Nothing you can make that can't be made,Joy
"Oh my darling, you were wonderful tonight",Joy
She used to tell me he hated me,Anger
I tried to scream But my head was underwater,Sad
In my hour of need,Sad
"Is your heart filled with pain, shall I come back again?",Sad
"Eatin a hot dog readin the Holy Qu'ran, while I'm on the john",Anger
Grab a brush and put a little makeup,Anger
"Paz sittin' with artillery to blow you to bits,",Anger
But dreams come slow and they go so fast,Sad
Everything's gonna be okay,Sad
"I'm shooting your henchmen, every written verse is a lesson",Anger
"Don't interrupt, my turbulence slaps",Anger
Sit back and get fat off the fat cat,Anger
Games we don't play them now,Anger
 You could pull a gun on me and if I'm mad at you I'm coming forward. You'd have to shoot me to stop me. ,Anger
Who bought these fuckin' T.V.'s,Anger
"B****, I'm a pick the world up and I'm a drop it on your f***in' head, yeah",Anger
"Niggas try to hate, we don't hear the side talk",Anger
"And I can't say no, I can't say no",Anger
With automatic triggers Chrome handles,Anger
"No tomorrow, no tomorrow",Sad
"And start shorty, because I'm a little older than 'cause",Anger
And at first I thought it was a lie,Sad
Cause Shady will fucking kill you,Anger
"Now I never, never get to clean up the mess I made, oh",Sad
I feel low,Sad
"Yeah, I know that I let you down",Sad
What you want now? (What you want now?),Anger
"And I say, ""Yes, I feel wonderful tonight""",Joy
Sweat dripping off me,Joy
"And no, I don't owe you a mothafuckin' thing",Anger
You brighten my dat,Joy
Have finally reached an end,Sad
It's your chance to wake up and plan another brand new day.,Joy
You're only trying to show me,Sad
"When I wake up in the morning, love",Joy
To hide its face and cry,Sad
She puts on her make-up and brushes her long blonde hair,Joy
Happy together,Joy
Them niggas ain't doing shit,Anger
You'll know what I'll split your motherfucking brains for,Anger
Tell me what you drinkin',Joy
Or let another day begin,Sad
Off uncertainty 'til your zipper locks,Anger
Good and the bad times where did the affection go?,Anger
I'm from that Richmond VA,Anger
"Got more money than my haters, how them niggas feel? (whoo)",Anger
We were sad of getting old,Fear
I skid like Rita lifted ocean,Anger
When the night comes and i'm deep in your arms,Joy
Just a little bit of regret,Sad
"I'm too passcode, these gates won't stay closed",Anger
Is made up on your side,Sad
Gotta be dominant,Anger
And this is when the feeling sinks in,Sad
"I'm Sosa, bitch Chief Keef, yeah (Sosa baby)",Anger
"I've dealt with yourself, I tricked hell out",Anger
Make your stand,Sad
"But that's all I can be, it's just me",Anger
Rap goblins mobbing the continent,Anger
I'll f***in',Anger
Who'd do your figure!?,Anger
Once more you open the door,Joy
"Oh, it's good to be true if our hopes and dreams come true",Sad
Hear that lonesome whippoorwill,Sad
"Sleep in peace when day is done, that's what I mean",Joy
I'm from that Nashville bitch,Anger
"I'm racin', I'm pacin', I stand and I sit",Anger
"Severe swerving, I tow lag",Anger
What do you want from me? Why don't you run from me?,Anger
On the wind that lifts her perfume through the air,Joy
But I have turned into a sinister,Anger
"The looniest, zaniest, spontaneous, sporadic",Anger
Young buck got struck with the gun butt (for what?),Anger
Just can't understand why we getting respect now,Anger
"It's never much, I'm war-torn in the cockpit",Anger
I said you don't wanna fuck with Shady (Why?),Anger
"Act one was when we met, I loved you at first glance",Sad
But he does and when you hear the buzz of the chainsaw,Anger
That you don't want me around,Joy
Who think I'm some wigger who just tries to be black,Anger
You are a sweet tender lover,Joy
If only you could see just how lonely and how cold,Anger
"Breathe, into me",Anger
A motherfucking chainsaw,Anger
And when it got too heavy I put my burdens aside,Anger
"Bitch, watch out, watch out, watch out",Anger
Couldn't stand to be far apart,Fear
In the cold light of day,Sad
"But it's taken some time, yeah",Sad
Girl fuckin' friend yeah,Anger
She my boss like I'm Prince's son,Joy
I'm a do things my way,Anger
"Most times you can't hear 'em talk, other times you can",Sad
The most loneliest day of my life,Sad
"To be your favorite jacket, just so I could always be near",Joy
Tormented and torn apart,Sad
Have I found you?,Sad
"I love the little things, like when you're unaware",Joy
Call me out on tracks then bitch I'll pound on you,Anger
"Won't you help me, girl,",Sad
This time I'm 'a stand up and shout,Anger
These niggas ain't doin' shit,Anger
Who came to bury broken dreams,Sad
"You know how movin', right",Anger
Your label is fucking you like Ruthless Records did to me,Anger
Stay to myself like loners do,Anger
"I don't talk that rich shit, but nigga I'm filthy",Anger
Beat the shit outta of security for stompin' the fight,Anger
"I like your shirt, I like your fingers, love the way that you smell",Joy
"Dig a hole, bury yourself, beautiful ditch,",Anger
Is light years away,Joy
"When you leave, I'm begging you not to go",Joy
Love gets you high,Joy
"I don't waste time, I don't waste time",Joy
These 80 G's a week to say the same things tweece,Anger
I wanna control you like voodoo,Joy
A heartache would be the outcome,Sad
"Two zero, I'm on the right track",Anger
The flow ripper (what),Anger
"You can start a riot in here, now who's wit me?",Anger
"When the truck stop, dump",Anger
"Fuck a Tooka gang bitch, I'm 3hunna (bang bang bang)",Anger
She pictures a soul,Sad
Sapphire moonlight,Joy
"I catch you backstage, give me the keys to the Escalade",Anger
But you was scared to shoot,Anger
"What the fuck, what the fuck, what the fuck, nigga",Anger
And the wonder of it all,Joy
"Creepin' up on site, now it's Fright Night",Anger
Get up,Anger
But then I got a little bit older,Anger
"Too many niggas, and not enough hoes",Anger
I miss you,Sad
"When I'm all alone with this heart of mine, ooh",Sad
I feel you walk beside me,Sad
But it hurts so bad i can't take it any longer,Fear
"And most of you niggas, acting like hoes",Anger
I don't trust no one around us,Sad
Wild horses couldn't drag me away,Sad
"But fuck it it's all good, the hood is up in The Source",Anger
Words support like bone,Sad
"Niggas!, isn't just the blacks",Anger
"I was a monster, I would stomp you in the yard with a brick",Anger
You're every step I make,Joy
"Nothing's all right, nothing is fine",Anger
"I can't stand em, fake ass niggaz want to be the Phantom",Anger
I'm searching for a song tonight,Sad
This night is cold in the kingdom,Sad
"I like you more, the world may know but don't be scared",Joy
Stars when you shine,Joy
You see you us you better run nigga (better run nigga),Anger
All those crazy things we did,Sad
"I was too late, I was too… ",Sad
Your daughter is my number one fan,Anger
"Oh, I feel so sorry",Sad
"And nothin' but the truth so help your black ass?""",Anger
Fuck you to the Marin County Sheriff department,Anger
Where is my phone? That pussy callin',Joy
"Hey yo I'm firin' out a coppertop city, with a whole empire",Anger
Still gettin' swole off bread and water,Anger
"Die cocksucker, boom bap boom bap",Anger
This stage is my pedestal,Anger
Now I long for yesterday,Sad
And more deadly than the stroke of an axe,Anger
I know there's gonna be,Joy
"A sick song to retaliate to, and it's called..",Anger
Could you find a way to let me down slowly?,Sad
Does your memory stray to a brighter sunny day,Sad
"At ya'll head, ya'll some dead summamabitches (Ay!)",Anger
All them scenes to this affair,Sad
I don't need no pussies to co-sign it,Anger
When you're ridin' sixteen hours and there's nothin' much to do,Sad
Let's race to the trunk (To the trunk),Anger
"I'm unstoppable, incredible",Anger
"I feel low, low, low",Sad
You don't know cause it ain't televised,Anger
You know why my hands are so numb? (No),Anger
Rise up this mornin',Joy
I felt a rush of blood in my veins,Anger
"Busta Rhymes now, M.O.P. Now",Anger
My maturity shows when I take these young rappers and I murder their flows,Anger
I'm from that Chi Town bitch,Anger
"Fuck droppin' the jewel, I'm flippin' the sacred treasure",Anger
And all of the things that we had behind,Sad
"Knives, lives, wives, nuns, sluts, bitch, I'ma kill you!",Anger
"Yessir, I'm cut from a different cloth",Joy
A mother-fuckin' night nigga,Anger
Somebodt to hold,Sad
I never would have noticed if we'd never met,Sad
