Lyric,Title,Singer,Emotion,Label
Gushing blood showers them drives,Pit of Zombies,Cannibal Corpse,Fear,3
And I can see,Your love,Alamid,Joy,0
Come on get down with the sickness,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"Nigga I'm iller, count scrilla like casinos, only c-notes and over",Hollow Points,Unknown ,Anger,1
"Let another nigga in your spot, and you gon' be hot nigga, coffee",Ring,Cardi B,Disgusting,4
"Jesus, there is no one like You",Jesus,Chris Tomlin,Suprise,5
Cause on the reals I done wet up more motherfuckers than water did,Get It On The Floor,DMX,Anger,1
Who will Save?,Hallelujah,BarlowGirl,Joy,0
If I didn't have anything,Locked away,R. City,Fear,3
"I love the little things, like when you're unaware","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
And help her to be wise,The Prayer,Celine Dion,Suprise,5
To my brothers stay strong keep your heads up,I Don't Give a Fuck,Tupac Shakur,Anger,1
I told lil' mama I don't bite but my teeth do,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
I'll walk the streets at night,Love Is Like Oxygen,Sweet,Joy,0
"Fuck you, I won't do what you tell me",Killing In The Name,Unknown,Anger,1
Make it a vicious act of terrorism,Bring da Ruckus,Wu-Tang Clan,Anger,1
"Sing like a bird,",Uncle Cracker,Smile,Joy,0
It's so different in my head,Astronaut,Simple Plan,Sad,2
"And I can’t help but stare, cause I see truth somewhere in your eyes.",Mirrors,Justin Timberlake,Joy,0
I guess I've always known,Goodbye to Love,Carpenters,Sad,2
Runaway train never going back,Runaway Train,Soul Asylum,Sad,2
I am talking to the moon still trying to get to you,Talking To The Moon,Bruno Mars,Sad,2
I wish I could carry your smile and my heart,All Out of Love,Air Supply,Sad,2
Screaming ancient incantations,Dead but Dreaming,Deicide,Fear,3
"Wonder whose arms will hold you good and tight
When it's exactly 12 o'clock, midnight
Welcoming in the New Year, New Year's Eve",What Are You Doing New Year’s Eve?,Kacey Musgraces,Joy,0
"I'm Nicer than Pete, but I'm on a search to crush a milk bone",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
My spirit returned from the dead,Addicted to Vaginal Skin,Cannibal Corpse,fear,3
And train brutal coporate-sponsored Dictors around the world,Prison Song,Unknown,Anger,1
"I climb the ladder, but you kick it over",Devil on My Shoulder,Billy Talent,Suprise,5
"Don't need makeup to cover up
Being the way that you are is enough",Best Song Ever,one direction,Joy,0
"Father wears his Sunday best
Mother's tired, she needs a rest
The kids are playing up downstairs
Sister's sighing in her sleep (ah)
Brother's got a date to keep, he can't hang around",Our House,Madness,Joy,0
And I provoke niggaz to kick buckets,Bring da Ruckus,Wu-Tang Clan,Anger,1
"My niggas think lopsided, bust, they got cross-sided",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Please, don't let me down",Why Hide,Mark Ronson,Fear,3
(Enough is enough) No more walkin 'round with my head down,100 Years,Five for Fighting,Sad,2
"Too many niggas, and not enough hoes",The Spiteful Chant,Kendrick Lamar,Anger,1
The midnight train is whining low,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"Keep this pussy in Versace, said I'm pretty like Tinashe",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"I know everybody on this island, seems so happy on this island",How far I will go,Auli'i Cravalho,Joy,0
AKs and TECs make 'em vacate a set,Hollow Points,Unknown ,Anger,1
Wishing you'd come sweepin' in the way you did before,Need You Now,Lady Antebellum,Sad,2
"Darling, you look perfect tonight",Perfect,Ed Sheeran,Suprise,5
"You're here, there's nothing I fear",My Heart Will Go On,Celine Dion,Joy,0
Fuck you to all you redneck prejudice mother fuckers,I Don't Give a Fuck,Tupac Shakur,Anger,1
"Follow that star above you
Should the world try to break you down
There is one who waits for you",The Star,Mariah Carey,Suprise,5
Need you there when I cry,When You're Gone,Avril Lavigne,Sad,2
It was a slap in the face,You Oughta Know,Alanis Morissette,Anger,1
AS strong as a fuckin' nine,I Don't Give a Fuck,Tupac Shakur,Anger,1
"It's so typical of me to talk about myself, I'm sorry",Hello,Adele,Sad,2
I wanna see you get it crunk,You Don't Want Drama,8Ball & MJG,Anger,1
Pawns tremble like dildos wielded by duppies,Spikes,Death Grips,Anger,1
"Fuckin' your nigga, I got him on lock
This go bang bang like I'm choppin' them chops",Press,Cardi B,Disgusting,4
But through the wall I can feel your cry,Fly Before You Fall,Cynthia Erivo,Sad,2
"Without you (sucks, sucks, sucks, sucks)",Everything Sucks,Scott Helman,Anger,1
"I've given her a great big hug
when she was feeling bad",The Sister Song lyrics,Barney,Joy,0
"Looking over my shoulder, cause it's colder than it was",Get It On The Floor,DMX,Anger,1
"Shot me another, Right then he hit the floor",Me & My Uncle,Grateful Dead,Suprise,5
"And no, I don't owe you a mothafuckin' thing",The Way I Am,Eminem,Anger,1
Olive trees are probably two thousand years old or more,In Garden of Gethsemane,Johnny Cash,Joy,0
You don't wanna fuck with Shady ('Cause why?),Kill You,Eminem,Anger,1
Did you ever make it out of that town,Hello,Adele,Sad,2
It's only through Your mercy,Christmas Offering,Casting Crowns,Joy,0
I hate everything about you,I hate everything about you,Three Days Grace,Anger,1
I was lost in a lonely place,I lay my love on you,Westlifes,Sad,2
"Jay Z in the range, crazy and deranged",Crazy in Love,Beyoncé,Joy,0
It's the way I'm feeling I just can't deny,We Found Love,Rihanna,Joy,0
And the Christmas bells that ring there are the clanging chimes of doom,Do They Know It's Christmas?,Band Aid,Joy,0
"I'm on that Kevlar vest shit, that Wild Wild West shit",I’m Supposed to Die Tonight,50 Cent,Anger,1
Make your stand,Turn the Page,Metallica,Sad,2
Deliverance of pain upon the stroke of our knives,Code of the Slashers,Cannibal Corpse,fear,3
"It's that time of year
Christmas time is here","Merry Christmas, Happy Holidays",NSYNC,Joy,0
"You ain't never going to shake this sense of sadness
I could hold you in my arms
I could hold on forever",Hold You in My Arms,,Joy,0
Living life is fun and we've just begun,We Are Family,Sister Sledge,Joy,0
I'm lost in a forest,A Forest,The Cure,Fear,3
Stumbled through the long goodbye,Come Back...Be Here,Taylor Swift,Sad,2
Sawn in half bones,Disposal of the Body,Cannibal Corpse,fear,3
Right when I was just about to fall,Come Back...Be Here,Taylor Swift,Sad,2
It's Christmas,Hallelujah,BarlowGirl,Joy,0
"My suggestion, is to keep your distance Cause right now I'm dangerous",Break Stuff,Limp Bizkit,Anger,1
Ante up! Yap that fool,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"When the sun shine, we shine together
Told you I'll be here forever",umbrella,Rihanna,Joy,0
Motherfucker we making history,Hip Hop Sinister,Hopsin,Anger,1
I strike 'tween each time your solar plex drops,Spikes,Death Grips,Anger,1
"If she ain't fuckin' me and Nicki (no)
Kick that ho right through the door (no, TR3YWAY)",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
All my delight is in You Lord,None But Jesus,Hillsong UNITED,Suprise,5
That should be me making you laugh,That should be me,Justin Bieber,Sad,2
"I'ma tell you one time (girl I love, girl I love you)
And I'ma be your one guy
You'll be my number one girl always makin' time for you",One Time,justin biber,Joy,0
"I'm high as hell, I only took a half a pill
I'm on some dumb shit, by the way, what he say?
He can tell I ain't missing no meals
Come through and fuck him in my automobile
Let him eat it with his grills, he keep tellin' me to chill",Anaconda,Nicki minaj,Disgusting,4
Give me some rain,Unknown,Unknown,Sad,2
"And I know He's mine forever,",Jesus Is Love,Commodores,Joy,0
Cause I'm missing half of me,Half a Heart,One Direction,Sad,2
And sent us happilly on our way,A Garden in the Rain, Connie Francis,Joy,0
"Some days I put on my Sunday best
And take a picture in your favorites dress",Stonegarden,Priscilla Renea,Joy,0
"When I drink your medicine, it just makes me sicker",Devil on My Shoulder,Billy Talent,Suprise,5
"The spot gets smaller, and I get bigger",Drop the World,Lil Wayne,Anger,1
"This that nine double one, with a nine double m",Crunk Muzik,The Diplomats,Anger,1
I'm the motherfucking hip hop sinister,Hip Hop Sinister,Hopsin,Anger,1
"Screamin', ""Fuck the world, "" like 2pac",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"My anaconda don't, my anaconda don't
My anaconda don't want none unless you got buns, hun",Anaconda,Nicki Minaj,Disgusting,4
We can build this thing together,Nothing's gonna stop us now,Mikaila,Joy,0
"Stay, stay within my heart",You are all I need,White Lion,Joy,0
"The duck, she makes a sound like this: ""Oink Oink.""",Down on Grandpa's Farm ,Nursery Rhymes,Joy,0
Planet Earth is blue,Space Oddity,David Bowie,Sad,2
"Oh, you're the best friend that I ever had",You're My Best Friend,Queen,Joy,0
All those motherfuckers,Break Stuff,Limp Bizkit,Anger,1
These bitches is my sons and I don't want custody,Stupid Hoe,Nicki Minaj,Disgusting,4
"They breed, but they never bleed",Vampire ,Night Club,Fear,3
Let's do some living after we die,Wild Horses,The Rolling Stones,Sad,2
Tear out the guts,Pit of Zombies,Cannibal Corpse,Fear,3
And I think to myself what a wonderful world,What a Wonderful World,Ledisi,Joy,0
"I think you better quit, talking that shit",Break Stuff,Limp Bizkit,Anger,1
"And hold down the fort, never get caught cause I creeps NIGGA!",Get It On The Floor,DMX,Anger,1
If I could find that lonely street,Lonely Street,Andy Williams,Sad,2
"Bust this, I'm kickin' like Segal, Out For Justice",Bring da Ruckus,Wu-Tang Clan,Anger,1
I know you hurt too but what else can we do,All Out of Love,Air Supply,Sad,2
"n my tour bus or when I'm backstage
There's a never-ending line of cunts that want to get laid",All I give a fuck about is fucking sex,Anal Cunt,Disgusting,4
"Filed the fifth, jet out of it",Crunk Muzik,The Diplomats,Anger,1
"Guess she gave you things, I didn't give to you",100 Years,Five for Fighting,Sad,2
I got energy to work and play,I Eat a rainbow,Jay Mankita,Joy,0
All they know is I love to kill.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
"Motherf***er, I'm gone",Drop the World,Lil Wayne,Anger,1
"Where a kiss of love can kill you, and there's death in every tear",Do They Know It's Christmas?,Band Aid,Joy,0
"If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker bitch
I make bloody moves",Bodak Yellow,Cardi B,Disgusting,4
"Better watch out, there's no way to stop it now",Supernature,Cerrone,Fear,3
Some things are better left unsaid,Love Is Like Oxygen,Sweet,Joy,0
Dead on the table.,Staring Through the Eyes of the Dead,Cannibal Corpse,fear,3
"It ain't a single man living could fuck with the beast,",Agony Fires,Army of the Pharaohs,Anger,1
"But they're not my teddy bear, he's my favorite one",Me and My Teddy,Barney,Joy,0
Let It Grow,Let It Grow,The Lorax Singers,Joy,0
"When I'm all alone with this heart of mine, ooh",Sometimes I Cry,Eric Benét,Sad,2
Clap along if you feel like happiness is to you,Happy,Pharrel Williams,Joy,0
"And if you feel the fading of the light
And you're too weak to carry on the fight
And all your friends that you care for have disappeared
I'll be here not gone, forever holding on",I Won't Let You Go,James Morrison,Joy,0
Now there's only me,the lonely,Christina Perri,Sad,2
"God is slaughtered
Drink his blood","Holy Hell

",Possessed,Fear,3
I'm from that ATL ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
Now if I stop being who I am that would upset me,Hip Hop Sinister,Hopsin,Anger,1
Have a drink on me cheers to the failing,I'm a Mess,Bebe Rexha,Sad,2
"In hopes you're on the other side, talking to me too",Talking To The Moon,Bruno Mars,Sad,2
It was a great big lie (big old lie),Angry White Boy Polka,Weird Al Yankovic,Anger,1
"High like space, forty five on waist",Crunk Muzik,The Diplomats,Anger,1
Someone get this freak a leash,Hip Hop Sinister,Hopsin,Anger,1
I want you to come back and carry me home,All Out of Love,Air Supply,Sad,2
Darkness all around and nobody makes a sound,X Files,Jordan Hollywood,Fear,3
"One word to describe me (what), spectacular, YES!",Crunk Muzik,The Diplomats,Anger,1
Kiss me underthe light of a thousand stars,Thinking Out Loud,Ed Sheeran,Joy,0
"I don't have patience, baby",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"Take it to town, take it to town",The Planting Song,Mother Goose Club,Joy,0
This is my last resort,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"If your sky is falling
Just take my hand and hold it
You don't have to be alone, alone yeah
I won't let you go",I Won't Let You Go,James Morrison,Joy,0
 when I hold you in my arms My love won't do you no harm,All You Need is Love,The Beatles ,Joy,0
And butt-F***ed this game up,Drop the World,Lil Wayne,Anger,1
"As I get closer, my dreams get farther",Devil on My Shoulder,Billy Talent,Suprise,5
"Put blood on her dress (woo)
Bitches be mad when they see Cardi step in the spot (whoa)",Press,Cardi B,Disgusting,4
"'Cause he got hit like I got hit, but he ain't fucking breathingMany men, many, many, many, many men",Many Men,50 Cent,Anger,1
I swear to God I'ma lay her south,Pull Up,Cardi B,Disgusting,4
You are the light of life,Joyful,Brenton Brown,Joy,0
"Somebody let me out this limousine (hey, let me out!)",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
I tried to scream But my head was underwater,everything i wanted,Billie Eilish,Sad,2
Then attack Eminem 'cause I rap this way,The Way I Am,Eminem,Anger,1
" all the souls on earth shall sing
On Christmas Day, on Christmas Day",I Saw Three Ships,Blackmore's Night,Joy,0
You won't last living in this cold climate,Hip Hop Sinister,Hopsin,Anger,1
Eyes and teeth are violently smashed,Brain Removal Device,Cannibal Corpse,fear,3
What if I'm someone you won't talk about?,Falling,Harry Styles,Sad,2
I feel so,So Lonely,The Police,Sad,2
"Oh, how I long to take your hand",Hey There Lonely Girl,Eddie Holman,Sad,2
Safe in my garden,Safe in My Garden,The Mamas & the Papas,Joy,0
"Alone again, naturally",Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"Watch me, cause you thinkin you got me in this hot seat",Fight Music,D12,Anger,1
"Now your life is leavin' yo body, for drinkin' too much Bacardi",You Don't Want Drama,8Ball & MJG,Anger,1
And in the ocean we will bathe,I Build This Garden for Us,Lenny Kravitz,Joy,0
"We ain't gon' never stop beefin', I don't squash the beef",Kill You,Eminem,Anger,1
With new horizons to pursue,A Whole New World,Zayn Malik and Zhavia Ward,Joy,0
I'm looking so crazy in love's,Crazy in Love,Beyoncé,Joy,0
"Going nowhere, going nowhere",Mad World,"Gary Jules, Michael Andrews",Sad,2
God gave me you for the ups and downs. God gave me you for the days of doubt,God Gave Me You,Blake Shelton,Joy,0
And since birth I've been cursed with this curse to just curse,The Way I Am,Eminem,Anger,1
I am the wind blowing through your hair,This Is Halloween,Danny Elfman,Fear,3
We bring an offering of worship to our King,Christmas Offering,Casting Crowns,Joy,0
"I was a monster, I would stomp you in the yard with a brick",Hollow Points,Unknown ,Anger,1
"Sometimes we're real close friends,
we stay up late and talk at night",Barney Theme Song,Barney,Joy,0
Knows everybody's disapproval,Take Me to Church,Hozier,Sad,2
With a little bit of gold and a pager,Fuck Tha Police,N.W.A.,Anger,1
"Push your baby carriage into the street, 'til it's mince meat",Fight Music,D12,Anger,1
Thinkin' every nigga is sellin' narcotics,Fuck Tha Police,N.W.A.,Anger,1
"Remember those walls I built? Well, baby they’re tumbling down and they didn’t even put up a fight, they didn’t even make a sound.",Halo,~Beyonce,Joy,0
"He buy me Yves Saint Laurent
And the new whip",Bodak Yellow,Cardi B,Disgusting,4
The Shaolin and the Wu-Tang could be dangerous,Bring da Ruckus,Wu-Tang Clan,Anger,1
Me and my niggas just acting bad,The Spiteful Chant,Kendrick Lamar,Anger,1
"And caroling out in the snow
There'll be scary ghost stories
And tales of the glories of
Christmases long, long ago",It's the Most Wonderful Time of the Year,Andy Williams,Joy,0
"This that jump, stop, breathe, whoody-who",Crunk Muzik,The Diplomats,Anger,1
"Barney comes to play with us
Whenever we may need him",Barney Theme Song,Barney,Joy,0
"Can't even sell my soul
'Cause it ain't worth shit to take",Devil on My Shoulder,Billy Talent,Suprise,5
There may come a time when I will see tha I've been wrong,Goodbye to Love,Carpenters,Sad,2
Should I tear my eyes out now?,The Sound of Silence,Disturbed,Sad,2
"Out of our minds and we want in yours: let us in, or I'ma kill you!",Kill You,Eminem,Anger,1
With a loaded 44 tucked into his drawers,Hip Hop Sinister,Hopsin,Anger,1
"Where my niggas at? I know who ride wit me,",Agony Fires,Army of the Pharaohs,Anger,1
Hoping to find the child from heaven,Christmas Offering,Casting Crowns,Joy,0
And if you see Holland Hill run.,Decoration Day,Drive-By Truckers,fear,3
"Newly wed lesbians prepare to start their lives
I see one too many wives",Robalni,Syphilic,Disgusting,4
"I'm doin' acid, crack, smack, coke and smokin' dope then",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Wish I could bring pun back,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Talkin' that shit behind my back, dirty mackin'",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
There are no tomorrows for this heart of mine,Goodbye to Love,Carpenters,Sad,2
Would you spend your whole life with me?,Locked away,R. City,Fear,3
Thinkin' I'm sayin' the shit 'cause I'm thinkin' it just to be sayin' it,Kill You,Eminem,Anger,1
Every night in my dreams,My Heart Will Go On,Celine Dion,Joy,0
"A get your hands in the air, and get to clappin 'em",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
And look into your heart and you'll find love love love love,I'm Yours,Jason Mraz,Joy,0
"Smack a ho, shoot the club up",You Don't Want Drama,8Ball & MJG,Anger,1
"When friends come to call
It's the hap-happiest season of all",It's the Most Wonderful Time of the Year,Andy Williams,Joy,0
Are you illiterate nigga? You can't read between the lines,Many Men,50 Cent,Anger,1
He asked you to go out for coffee—he just wants to fuck you,I PAID JIM HOWELL TO RAPE YOU,Anal Cunt,Disgusting,4
(What you want want want want want want blunt blunt),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
I will make you hurt,Hurt,Johnny Cash,Sad,2
Everyone can see we're together,We Are Family,Sister Sledge,Joy,0
Can anyone tell where I am,Away From the Sun,3 Doors Down,Sad,2
"Different homes, different islands)",The Spiteful Chant,Kendrick Lamar,Anger,1
My headband expand like I choose juice,Spikes,Death Grips,Anger,1
"With a smile and a song
All the world seems to waken anew
Rejoicing with you
As the song is sung",With a Smile and a Song,Adriana Caselotti,Joy,0
"I see you, I feel you",My Heart Will Go On,Celine Dion,Joy,0
Nothing can make me feel like you do,Nothing like us,Jungkook,Sad,2
She used to tell me he hated me,Kill You,Eminem,Anger,1
Drug money is used to rig election,Prison Song,Unknown,Anger,1
Cause I am always by your side,The Power Of Love,Celine Dion,Joy,0
"A song of hope where there's no hope tonight, ooh",Do They Know It's Christmas?,Band Aid,Joy,0
And as the clouds roll by,Song of the sea,Nolwenn Leroy,Joy,0
That we ain't brought down on ourselves,Decoration Day,Drive-By Truckers,fear,3
Is it something that I've done,Astronaut,Simple Plan,Sad,2
With automatic triggers Chrome handles,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
Body is found,Disposal of the Body,Cannibal Corpse,fear,3
Can anyone see me down here,Away From the Sun,3 Doors Down,Sad,2
Is that you just don't realize how much I love you,Wonderful Tonight,Eric Clapton,Joy,0
I've been shooting in the dark too long,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
Listen to the birds that were sent,Rainbow,Unknow,Joy,0
"I feel more alive
more alive than I've ever been",Addicted to Vaginal Skin,Cannibal Corpse,Disgusting,4
I wanna grow up once again,Unknown,Unknown,Sad,2
I wish the couple on the corner would just get a room,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
We got the hood locked worth a 100 mill,3Hunna,Chief Keef,Anger,1
"I'm unstoppable, incredible",Drop the World,Lil Wayne,Anger,1
Just another day in the life 'G',I Don't Give a Fuck,Tupac Shakur,Anger,1
Left murdered and nameless.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
"Yes, it's the saddest experience you'll ever know",One Is The Loneliest Number,Three Dog Night,Sad,2
My Wu-Tang slang is mad fuckin' dangerous,Bring da Ruckus,Wu-Tang Clan,Anger,1
food is made from sunshine,I Eat a rainbow,Jay Mankita,Joy,0
To save us all from Satan's power,God Rest Ye Merry Gentlemen,Meredith Andrews,Joy,0
"Devil in a red dress
Call 911, I'm a killer
You know I had to come fast
Bang, bang, got my hand on the trigger",Devil,Barren Gates,Fear,3
I remember when I came out and shit,The Spiteful Chant,Kendrick Lamar,Anger,1
It's a new life,Feeling Good,Michael Bublé,Joy,0
I know that she's always,You are all I need,White Lion,Joy,0
"I could count the legs on an octopus
1, 2, 3, 4, 5, 6, 7, 8!",If I Lived Under the Sea,Barney,Joy,0
"So love me like you do, lo-lo-love me like you do",Love Me Like You Do,Ellie Goulding,Joy,0
To Blue Bayou,Blue Bayou,Linda Ronstadt,Sad,2
Time on my side,Love Is Like Oxygen,Sweet,Joy,0
"Dig deep, always fight, always win",Unknown,Unknown,Anger,1
Can anybody hear me,Astronaut,Simple Plan,Sad,2
Somebodt to hold,Someone You Loved,Lewis Capaldi,Sad,2
"The feds didn't know much, when Pac got shot",Many Men,50 Cent,Anger,1
Gotta keep those lovin' good vibrations a-happenin',Good Vibrations,The Beach Boys,Joy,0
"Now it's clear that I'm here, for a real reason",Many Men,50 Cent,Anger,1
I'm from the bay I thrown them bows,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
But on that road I took a fall,Maps,Maroon 5,Sad,2
Starts to fall in love with me,Sorry,Halsey,Sad,2
As them pills disappear,The Spiteful Chant,Kendrick Lamar,Anger,1
"For parting my lips
When I couldn't breathe",Thank You for Loving Me,Bon Jovi,Joy,0
Come on and bring the ruckus,Bring da Ruckus,Wu-Tang Clan,Anger,1
She's so beautiful and I tell her everyday,Happy,Pharrell Williams,Joy,0
"She's giving me the excitations (excitations, oom bop bop)",Good Vibrations,The Beach Boys,Joy,0
Horror unfolds,Code of the Slashers,Cannibal Corpse,fear,3
I'm walking on sunshine (Wow!),Walking on Sunshine,"Katrina and the Waves, Katrina Leskanich",Joy,0
I won't tell no lie,We Are Family,Sister Sledge,Joy,0
Open up your hate and let it flow into me,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"I see friends shaking hands, saying how do you do",What a Wonderful World,Ledisi,Joy,0
"Bury a friend, try to wake up (ah ahh)",bury a friend,Billie Eilish,Anger,1
This bitch named Karma got me going crazy and this fuckin' high,Hollow Points,Unknown ,Anger,1
Hung above the Zombie lair,Pit of Zombies,Cannibal Corpse,Fear,3
I'm from that Chi Town bitch,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"I just want you for my own
More than you could ever know
Make my wish come true
Baby all I want for Christmas is you",All I Want For Christmas Is You,Justin Bieber and Mariah Carey,Joy,0
"When I saw you in that dress, looking so beautiful
I don't deserve this, darling, you look perfect tonight",perfect,ed Sheeran,Joy,0
"I work and forever try, but I'm cursed, so never mind",Drop the World,Lil Wayne,Anger,1
"Suffocation, no breathing",Angry White Boy Polka,Weird Al Yankovic,Anger,1
I grew up with a lot of love in a happy home,Happy Home,Hedegaard,Joy,0
"And when you smile
The whole world stops and stares for a while
'Cause girl you're amazing",Just the way you are,Bruno Mars,Joy,0
"Those who died are justified, for wearing the badge, they're the chosen whites",Killing In The Name,Unknown,Anger,1
"Molars and fangs, the clicking of bones",Pet Sematary,Ramones,Fear,3
I'm young hungry armed and reckless,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
If only you could see just how lonely and how cold,Drop the World,Lil Wayne,Anger,1
There is no shadow in your presence,Christmas Offering,Casting Crowns,Joy,0
"Wish death upon meSunny days wouldn't be special, if it wasn't for rain",Many Men,50 Cent,Anger,1
I have nobody for my own,Lonely,Akon,Sad,2
Lift up our heart to be thankful and glad,Jesus Is Love,Commodores,Joy,0
A wounderful smile n your heart,A Smile in Your Heart,Harana,Joy,0
"Silver and gold when we're together
We break the mold, yeah, we make it shatter-shatter",I love My friends,Steve Aoki,Joy,0
I'm colder than snow season when it's twenty below freezin',Just Don't Give a Fuck (a cappella),Eminem,Anger,1
But I still don't understand,Crazy in Love,Beyoncé,Joy,0
"In 2002, if you asked me to make a wish",I’m Supposed to Die Tonight,50 Cent,Anger,1
"Go call you a lawyer, file you a lawsuit",The Way I Am,Eminem,Anger,1
"Through my mind, down to my soul you touch my lips",My all,Mariah Carey,Joy,0
"Knives, lives, wives, nuns, sluts, bitch, I'ma kill you!",Kill You,Eminem,Anger,1
"Got me looking, got me looking so crazy in love",Crazy in Love,Beyoncé,Joy,0
Crazy bring ya whole set,Crazy in Love,Beyoncé,Joy,0
"Pulled my trigger, now he's dead",Bohemian Rhapsody,Queen,Suprise,5
Wonder if she's gone to stay,Ain't No Sun Shine,Bill Withers,Sad,2
And now they trying to send me off to Kuwait,I Don't Give a Fuck,Tupac Shakur,Anger,1
Where is the moment we needed the most?,Bad Day,Daniel Powter,Sad,2
I'm about as lonesome as a poor boy gets,Lonelier Than This,Steve Earle,Sad,2
From the house of death set free,Dead but Dreaming,Deicide,Fear,3
"We are, friends for life
Hold that, deep inside
Let this, be a drive
To survive
And just stand, high and tall
Make sure you give your all
And if you ever fall
Know that I'm right here",Always Be Together,Little mix,Joy,0
"Cause this is thriller, thriller night",Thriller,Michael Jackson,Fear,3
"Sing a song of flowers, flowers all around",Sing a Song of Flowers,Nursery Rhymes,Joy,0
"I'll be the one, if you want me to",Say Something,A Great Big World,Sad,2
I'mma take his wrist and break it,The Spiteful Chant,Kendrick Lamar,Anger,1
"I can sleep at night, I don't reach for you when I wake up, no",Sometimes I Cry,Eric Benét,Sad,2
I wanna live while we're young,Live While We're Young,One Direction,Joy,0
Somebody to know,Someone You Loved,Lewis Capaldi,Sad,2
"There are lots of things, we can do to be nice",Please And Thank You,Barney,Joy,0
"I'm dancin' with satanic people, life is illegal",Hollow Points,Unknown ,Anger,1
"I know you haven't made your mind up yet
But I will never do you wrong",Make You Feel My Love,Adele,Suprise,5
Can anybody tell me why,Astronaut,Simple Plan,Sad,2
"Another airplane
Another sunny place
I'm lucky I know
But I wanna go home
Mmm, I got to go home",Home,Michael Bublé,Joy,0
"Cause I was doing it for us, I told 'em fuck the public",Bed of Lies,Nicki Minaj,Disgusting,4
